,PSDB
Uldurico Junior,PPL
Renato Molling,
Bruno Covas (*) e Arnaldo Faria de Sá,PSDB
Júlio Cesar,PSD
Fausto Pinato,PP
Cezinha de Madureira,PSD
Airton Faleiro,PT
Joenia Wapichana,REDE
Homero Pereira,
Roberto Santiago,PSD
Gastão Vieira,PMDB
Jozi Araújo,PODE
Jose Stédile,
Paulo Bornhausen,
José Fernando Aparecido de Oliveira,
Arnaldo Faria de Sá,PSDB
Raimundo Costa,PL
Cristiane Brasil,PTB
Givaldo Carimbão,
Zonta,
Vital do Rêgo Filho,
Marçal Filho,PMDB
Luciano Bivar (*),AVANTE
Luiz Argôlo,SDD
Alberto Fraga,
Emidinho Madeira,PSB
Deputado Afonso Hamm e Senador Delcídio do Amaral,PSB
Lafayette de Andrada,REPUBLICANOS
Vitor Hugo,PSL
Luiza Erundina,
Luiz Nishimori,PL
Padre João,DEM
Luiz Cláudio,PSDB
Mauro Lopes,MDB
Gladson Cameli,
Marcos Pereira,REPUBLICANOS
Herculano Passos,MDB
Gutemberg Reis,MDB
Dr. Jorge Silva,PSDB
Professor Israel Batista,PV
Alberto Filho (*) e Kaio Maniçoba,PP
Aroldo Martins,REPUBLICANOS
Carla Zambelli,PSL
Margarida Salomão,PT
Domingos Sávio,PSDB
Júnior Ferrari,PSD
Moreira Mendes,
Lelo Coimbra,PMDB
Duarte Nogueira,PSDB
Assis do Couto,PT
Dr. Jaziel,PL
Marcio Alvino,PL
Hugo Motta,PMDB
Vitorassi,
Luiz Alberto,
Deputado Otoniel Lima,DEM
Marx Beltrão,PSD
Enrico Misasi,PV
Valtenir Pereira,MDB
Adriana Ventura,NOVO
Ronaldo Fonseca (*),PODE
Fernando de Fabinho,
Patrus Ananias,PT
Weverton Rocha,PSDB
Jhc,PSB
João Derly,REDE
Coronel Tadeu,PSL
Victor Mendes,MDB
Sen. Ideli Salvatti,
Antônio Carlos Mendes Tame,PSDB
Francisco Turra e Yeda Crusius,
Andres Sanchez,PT
Sen. Serys Slhessarenko e Dep. Edson Duarte,
Marcel van Hattem e Sen. Álvaro Dias,NOVO
David Soares  (*) e David Soares  (*),DEM
Delegado Francischini,PSL
Ezequiel Teixeira,PODE
Mara Gabrilli,PSDB
Tiago Mitraud,NOVO
Christino Aureo,PP
Ronaldo Fonseca,PROS
Felício Laterça,PSL
Roberto Alves  (*),REPUBLICANOS
Edison Andrino,
Marina Santanna,PT
Geninho Zuliani,DEM
Roberto Pessoa  (*),PSDB
Dr. Luiz Antonio Teixeira Jr.,PP
Sérgio Brito,DEM
Efraim Filho,DEM
Zé Carlos,PT
Ronaldo Nogueira,PTB
Ivo José,
Geraldo Thadeu,
Sen. Jorginho Mello e Pedro Uczai,PDT
Silvio Costa Filho,REPUBLICANOS
Lourival Gomes,PSL
Antônio Andrade,
Antonio Andrade,PMDB
Dep. Luciana Genro e Sen. Heloísa Helena,
Rejane Dias,PT
Ildeu Araujo,
João Magalhães,
Luiz Bassuma,
Gurgel,PSL
Carlos Melles,DEM
Lourival Mendes,PTdoB
Luis Carlos Heinze,PP**
Daniel Silveira,PSL
Vanderlei Siraque,PT
Ságuas Moraes,PT
Odair,
Covatti Filho,PP
Carlos Gomes,REPUBLICANOS
Mauro Nazif,PSB
Daniel Freitas,PSL
José Stédile,PSB
João Rodrigues,PSDB
Sen. Paulo Paim e André Figueiredo,PP
Coronel Chrisóstomo,PSL
Celso Maldaner,MDB
Marcus Vicente,PP
Bacelar,PODE
Jaime Martins,
José Reinaldo,PSDB
Dr. Aluizio,PV
Gorete Pereira,PSDB
João Leão,
Sóstenes Cavalcante,PSDB
Gerson Gabrielli,
Professora Dayane Pimentel,PSL
Jaqueline Roriz,PMN
Carlos Henrique Gaguim,DEM
Gervásio Silva,
Yeda Crusius,PSDB
Delegado Marcelo Freitas,PSL
Mário Negromonte Jr.,PP
Alessandro Molon,PSB
Francisco Jr.,PSD
Paulo Piau,PMDB
Dr. Ubiali,PSB
Delegado Pablo,PSL
Irajá Abreu (*) e Carlos Henrique Gaguim,PSD
Danilo Cabral,PP
Erika Kokay,PT
Izalci Lucas,PSDB
Tereza Cristina,DEM
Barbosa Neto,
Juninho do Pneu,DEM
Leandro Sampaio,
Luiz Carlos Hauly,
Mauro Pereira (*) e Henrique Fontana,MDB
Abou Anni,PSL
Edmar Arruda,PSD
Célio Studart,PV
Vinicius Poit,NOVO
Júlio Lopes,
Marcelo Ortiz,
João Caldas,
Wilson Beserra (*),PSDB
Talíria Petrone,PSOL
Dr. Leonardo,SOLIDARIEDADE
Hildo Rocha,MDB
Senador Waldemir Moka e Deputado Paulo Piau,DEM
Pedro Lucas Fernandes,PTB
Roberto Rocha,
Antônio Jácome,PODE
Marcos Abramo,
Marco Bertaiolli,PSD
Mariângela Duarte,
Luci Choinaki,PSC
Julio Cesar Ribeiro,REPUBLICANOS
Ângelo Agnolin,PDT
Mariana Carvalho,PSDB
Félix Mendonça Júnior,PDT
Givaldo Vieira,PCdoB
Aureo Ribeiro,SOLIDARIEDADE
Sanderson,PSL
Coronel Alves,
Solange Amaral,
José Eduardo Cardozo,
Gabriel Chalita,PMDB
Geovania de Sá,PSDB
Cláudio Cajado,
João Matos,
Luiz Pitiman,PSB
Alex Canziani,
Rosinha da Adefal,PTdoB
Mário Heringer,PDT
Loester Trutis,PSL
Luciana Santos,PCdoB
Adelmo Carneiro Leão,PT
Santini  (*),PTB
Newton Cardoso Jr,MDB
Saraiva Felipe,PMDB
Jose Augusto Maia,PROS
Osmar Serraglio,PP
Damião Feliciano,PDT
Fátima Bezerra,PT
Daniel Coelho,CIDADANIA
Vieira Reis,
Dr. Talmir,
Chico D'angelo,PDT
Edmilson Rodrigues,PSOL
Sebastião Bala Rocha,
Márcio Jerry  (*),PCdoB
Marco Maia,PT
Paulo César,DEM
Augusto Carvalho,SOLIDARIEDADE
Fabio Trad,PMDB
Ivan Valente,
Júlio Campos,DEM
Danrlei de Deus Hinterholz  (*),PSD
Severino Ninho,PSB
Edinho Bez (*) e Alceu Moreira,
Julio Lopes,PP
Tadeu Alencar,PSB
Bernardo Santana de Vasconcellos,PR
Josias Quintal,
Evair Vieira de Melo,PP
Eduardo da Fonte,PP
Jandira Feghali,PCdoB
Alexis Fonteyne,NOVO
Gonzaga Patriota,PSB
Arnaldo Jardim,CIDADANIA
Silas Freire (*),PODE
Raul Jungmann,
Vitor Paulo,PRB
Iara Bernardi,
Maria do Rosário e Paulo Henrique Lustosa,
Cabo Sabino,AVANTE
Antônia Lúcia,PSC
Wladimir Garotinho  (*),PSD
Laercio Oliveira,PP
Edio Lopes,PR
"Erika Kokay, Paulo Teixeira e Jean Willys",PT
Fernando Ferro,
Rodrigo Rollemberg,
José Augusto Maia,PROS
Giacobo,
Marreca Filho,PP
Augusto Nardes,
Vander Loubet,
